seed,sensorRange,acoCandidateCount,acoStepLength,acoAlpha,acoBeta,converged,convergenceTime,victimsFound
40,100.0,20,50.0,2.0,1.0,false,NaN,4
40,100.0,20,50.0,2.0,1.5,false,NaN,3
40,100.0,20,50.0,1.0,2.0,false,NaN,2
40,100.0,20,50.0,1.5,1.5,false,NaN,3
40,100.0,20,50.0,1.5,1.0,false,NaN,3
40,100.0,20,50.0,1.0,1.0,false,NaN,4
40,100.0,25,50.0,2.0,1.5,false,NaN,3
40,100.0,25,50.0,1.5,2.0,false,NaN,2
40,100.0,25,50.0,1.0,1.5,false,NaN,3
40,100.0,25,50.0,1.0,2.0,false,NaN,3
40,100.0,20,50.0,2.0,2.0,false,NaN,2
40,100.0,25,50.0,1.5,1.0,false,NaN,4
40,100.0,25,50.0,2.0,2.0,false,NaN,3
40,100.0,20,50.0,1.5,2.0,false,NaN,3
40,100.0,25,50.0,2.0,1.0,false,NaN,3
40,100.0,20,50.0,1.0,1.5,false,NaN,3
40,100.0,25,50.0,1.5,1.5,false,NaN,3
40,100.0,25,50.0,1.0,1.0,false,NaN,3
40,100.0,30,50.0,1.0,1.0,false,NaN,2
40,100.0,30,50.0,1.5,1.0,false,NaN,3
40,100.0,30,50.0,2.0,1.0,false,NaN,3
40,100.0,30,50.0,1.0,1.5,false,NaN,4
40,100.0,30,50.0,2.0,1.5,false,NaN,3
40,100.0,30,50.0,2.0,2.0,false,NaN,2
40,100.0,30,50.0,1.5,1.5,false,NaN,2
40,100.0,30,50.0,1.0,2.0,false,NaN,4
40,100.0,20,100.0,1.0,1.0,false,NaN,4
40,100.0,20,100.0,1.0,1.5,false,NaN,3
40,100.0,20,100.0,2.0,1.0,false,NaN,4
40,100.0,30,50.0,1.5,2.0,false,NaN,3
40,100.0,20,100.0,2.0,1.5,false,NaN,3
40,100.0,20,100.0,1.5,1.0,false,NaN,4
40,100.0,20,100.0,1.0,2.0,false,NaN,4
40,100.0,20,100.0,1.5,2.0,false,NaN,3
40,100.0,20,100.0,1.5,1.5,false,NaN,3
40,100.0,20,100.0,2.0,2.0,false,NaN,3
40,100.0,25,100.0,1.5,1.0,false,NaN,4
40,100.0,25,100.0,1.0,1.0,false,NaN,4
40,100.0,25,100.0,2.0,1.0,false,NaN,3
40,100.0,25,100.0,1.0,1.5,false,NaN,2
40,100.0,25,100.0,1.5,1.5,false,NaN,2
40,100.0,25,100.0,2.0,1.5,false,NaN,2
40,100.0,25,100.0,1.0,2.0,false,NaN,2
40,100.0,25,100.0,2.0,2.0,false,NaN,2
40,100.0,30,100.0,1.5,1.0,false,NaN,4
40,100.0,30,100.0,2.0,1.0,false,NaN,3
40,100.0,25,100.0,1.5,2.0,false,NaN,2
40,100.0,30,100.0,1.5,1.5,false,NaN,4
40,100.0,30,100.0,1.0,1.0,false,NaN,4
40,100.0,30,100.0,2.0,1.5,false,NaN,4
40,100.0,30,100.0,1.0,2.0,false,NaN,3
40,100.0,30,100.0,1.0,1.5,false,NaN,4
40,100.0,30,100.0,2.0,2.0,false,NaN,2
40,100.0,30,100.0,1.5,2.0,false,NaN,4
