seed,sensorRange,acoCandidateCount,acoStepLength,acoAlpha,acoBeta,victimIdx,uavIdx,foundTime,x,y
40,100.0,20,50.0,2.0,1.0,2,0,6.582104923942083,357.3820174025494,170.075846905503
40,100.0,20,50.0,1.0,2.0,2,0,6.582104923942083,357.3820174025494,170.075846905503
40,100.0,20,50.0,2.0,1.5,2,0,6.582104923942083,357.3820174025494,170.075846905503
40,100.0,20,50.0,2.0,1.0,0,0,6.806848608086251,463.7091657830143,173.94983411973146
40,100.0,20,50.0,2.0,1.5,0,0,6.806848608086251,463.7091657830143,173.94983411973146
40,100.0,20,50.0,1.0,2.0,0,0,6.806848608086251,463.7091657830143,173.94983411973146
40,100.0,20,50.0,1.0,1.0,2,0,6.582104923942083,357.3820174025494,170.075846905503
40,100.0,20,50.0,1.0,1.0,0,0,6.806848608086251,463.7091657830143,173.94983411973146
40,100.0,20,50.0,1.5,1.5,2,0,6.582104923942083,357.3820174025494,170.075846905503
40,100.0,20,50.0,1.5,1.5,0,0,6.806848608086251,463.7091657830143,173.94983411973146
40,100.0,20,50.0,1.5,1.0,2,0,6.582104923942083,357.3820174025494,170.075846905503
40,100.0,20,50.0,1.5,1.0,0,0,6.806848608086251,463.7091657830143,173.94983411973146
40,100.0,25,50.0,1.5,1.0,2,0,6.582104923942083,357.3820174025494,170.075846905503
40,100.0,25,50.0,1.5,1.0,0,0,6.806848608086251,463.7091657830143,173.94983411973146
40,100.0,25,50.0,2.0,1.0,2,0,6.582104923942083,357.3820174025494,170.075846905503
40,100.0,20,50.0,2.0,2.0,2,0,6.582104923942083,357.3820174025494,170.075846905503
40,100.0,25,50.0,2.0,1.0,0,0,6.806848608086251,463.7091657830143,173.94983411973146
40,100.0,20,50.0,2.0,2.0,0,0,6.806848608086251,463.7091657830143,173.94983411973146
40,100.0,20,50.0,1.0,1.5,2,0,6.582104923942083,357.3820174025494,170.075846905503
40,100.0,20,50.0,1.5,2.0,2,0,6.582104923942083,357.3820174025494,170.075846905503
40,100.0,25,50.0,1.0,1.0,2,0,6.582104923942083,357.3820174025494,170.075846905503
40,100.0,20,50.0,2.0,1.0,1,0,17.034799888158023,507.078922744844,189.28912608156344
40,100.0,25,50.0,1.0,1.0,0,0,6.806848608086251,463.7091657830143,173.94983411973146
40,100.0,20,50.0,1.0,1.5,0,0,6.806848608086251,463.7091657830143,173.94983411973146
40,100.0,20,50.0,1.5,2.0,0,0,6.806848608086251,463.7091657830143,173.94983411973146
40,100.0,20,50.0,1.0,1.0,1,0,19.406355091748402,507.078922744844,189.28912608156344
40,100.0,25,50.0,1.0,1.5,2,0,6.582104923942083,357.3820174025494,170.075846905503
40,100.0,20,50.0,1.5,1.0,1,0,17.034799888158023,507.078922744844,189.28912608156344
40,100.0,25,50.0,1.5,1.5,2,0,6.582104923942083,357.3820174025494,170.075846905503
40,100.0,25,50.0,1.5,1.5,0,0,6.806848608086251,463.7091657830143,173.94983411973146
40,100.0,25,50.0,1.0,1.5,0,0,6.806848608086251,463.7091657830143,173.94983411973146
40,100.0,25,50.0,1.5,1.0,1,0,19.001876150243415,507.078922744844,189.28912608156344
40,100.0,25,50.0,1.0,1.0,1,0,19.001876150243415,507.078922744844,189.28912608156344
40,100.0,20,50.0,1.0,1.5,3,0,22.936675839944154,498.79533806064467,183.5757899808681
40,100.0,20,50.0,2.0,1.0,4,1,64.025559408622,459.33607136727795,411.8215105565725
40,100.0,25,50.0,2.0,1.0,1,0,19.001876150243415,507.078922744844,189.28912608156344
40,100.0,20,50.0,1.5,2.0,3,0,31.71741296984997,498.79533806064467,183.5757899808681
40,100.0,20,50.0,2.0,1.5,3,0,71.94259500426963,498.79533806064467,183.5757899808681
40,100.0,20,50.0,1.5,1.5,1,1,85.13722387759124,507.078922744844,189.28912608156344
40,100.0,20,50.0,1.0,1.0,4,0,82.80499816322691,459.33607136727795,411.8215105565725
40,100.0,25,50.0,2.0,1.5,2,0,6.582104923942083,357.3820174025494,170.075846905503
40,100.0,25,50.0,2.0,1.5,0,0,6.806848608086251,463.7091657830143,173.94983411973146
40,100.0,25,50.0,1.0,2.0,2,0,6.582104923942083,357.3820174025494,170.075846905503
40,100.0,25,50.0,1.0,2.0,0,0,6.806848608086251,463.7091657830143,173.94983411973146
40,100.0,25,50.0,1.5,2.0,2,0,6.582104923942083,357.3820174025494,170.075846905503
40,100.0,25,50.0,1.5,2.0,0,0,6.806848608086251,463.7091657830143,173.94983411973146
40,100.0,25,50.0,2.0,2.0,2,0,6.582104923942083,357.3820174025494,170.075846905503
40,100.0,25,50.0,2.0,2.0,0,0,6.806848608086251,463.7091657830143,173.94983411973146
40,100.0,30,50.0,1.0,1.0,2,0,6.582104923942083,357.3820174025494,170.075846905503
40,100.0,30,50.0,1.5,1.0,2,0,6.582104923942083,357.3820174025494,170.075846905503
40,100.0,30,50.0,1.0,1.0,0,0,6.806848608086251,463.7091657830143,173.94983411973146
40,100.0,30,50.0,1.5,1.0,0,0,6.806848608086251,463.7091657830143,173.94983411973146
40,100.0,25,50.0,2.0,1.5,3,0,35.58145180166142,498.79533806064467,183.5757899808681
40,100.0,25,50.0,1.0,1.5,1,0,59.950758581470254,507.078922744844,189.28912608156344
40,100.0,30,50.0,1.5,1.0,3,0,17.39653929221047,498.79533806064467,183.5757899808681
40,100.0,25,50.0,1.0,2.0,3,0,77.56133965312317,498.79533806064467,183.5757899808681
40,100.0,25,50.0,2.0,2.0,4,0,76.4282056231625,459.33607136727795,411.8215105565725
40,100.0,25,50.0,1.5,1.0,4,0,84.65983992188124,459.33607136727795,411.8215105565725
40,100.0,30,50.0,2.0,1.0,2,0,6.582104923942083,357.3820174025494,170.075846905503
