sensorRange,acoCandidateCount,acoStepLength,acoAlpha,acoBeta,n_runs,convergence_rate,mean_ct,std_ct,median_ct,mean_victims
100.0,12,50.0,0.5,1.0,10,0.9,56.769103679994636,13.472131737417126,59.54445401026411,4.8
100.0,12,50.0,0.5,1.5,10,0.8,51.68618363764237,11.403792280099683,50.96831948583302,4.5
100.0,12,50.0,0.5,2.0,10,0.8,48.733155229023694,11.91289108728813,50.70243234300003,4.1
100.0,12,50.0,0.5,2.5,10,0.9,59.41120979538987,34.88646559816484,49.83256788345983,4.5
100.0,12,50.0,0.5,3.0,10,0.9,61.63530361442161,28.51587575204262,51.47435798026915,4.5
100.0,12,50.0,0.5,3.5,10,0.7,53.09234522892605,15.090201690406984,51.47435798026915,3.9
100.0,12,50.0,0.5,4.0,10,0.8,57.40058702877993,18.54586363931701,51.998002329103585,4.3
100.0,12,50.0,1.0,1.0,10,0.8,56.88275747280735,18.960578491892814,55.60297487037353,4.8
100.0,12,50.0,1.0,1.5,10,0.9,51.87962521217209,10.94564068660424,51.50690059478807,4.9
100.0,12,50.0,1.0,2.0,10,0.9,48.648457805401286,13.796729341877615,50.404864686000046,4.9
100.0,12,50.0,1.0,2.5,10,0.8,58.15505942635585,29.696869789834267,47.176306083799076,4.7
100.0,12,50.0,1.0,3.0,10,0.8,53.296181800905536,20.359329255351355,50.93961133313459,4.4
100.0,12,50.0,1.0,3.5,10,0.7,53.10549899939837,15.11951750943984,51.47435798026915,4.3
100.0,12,50.0,1.0,4.0,10,0.8,60.88967891649203,27.297023943205016,50.93961133313459,4.7
100.0,12,50.0,1.5,1.0,10,1.0,55.013267769778665,20.771768617044895,50.60338477569053,5.0
100.0,12,50.0,1.5,1.5,10,0.9,53.379270926139924,17.758775305688427,50.404864686000046,4.8
100.0,12,50.0,1.5,2.0,10,0.9,46.05974324865807,9.398827365497873,48.73526518955925,4.9
100.0,12,50.0,1.5,2.5,10,1.0,53.2582435833423,25.305223848250666,50.46062763394054,5.0
100.0,12,50.0,1.5,3.0,10,0.9,64.28024791516698,38.73863803551102,51.47435798026915,4.8
100.0,12,50.0,1.5,3.5,10,0.8,53.15851481440593,13.552558238447576,50.93961133313459,4.6
100.0,12,50.0,1.5,4.0,10,1.0,64.38158245259241,24.32465559427006,59.725010174409206,5.0
100.0,12,50.0,2.0,1.0,10,0.8,58.26528680405966,24.778246899372938,54.96734181227988,4.7
100.0,12,50.0,2.0,1.5,10,0.9,58.05719669701817,26.022465558957848,50.404864686000046,4.8
100.0,12,50.0,2.0,2.0,10,0.8,45.276191334986045,9.392108687296279,47.176306083799076,4.7
100.0,12,50.0,2.0,2.5,10,1.0,50.102646808550816,16.843516289282697,49.65825228651442,5.0
100.0,12,50.0,2.0,3.0,10,0.9,62.89450339483821,33.21437703725084,51.54841688108708,4.8
100.0,12,50.0,2.0,3.5,10,0.9,55.70195165054786,16.403530863014492,51.54841688108708,4.8
100.0,12,50.0,2.0,4.0,10,1.0,55.34942811646697,13.535846739595366,55.07065512478107,5.0
100.0,12,50.0,2.5,1.0,10,1.0,53.068855183070845,11.314979084921772,55.28484195774179,5.0
100.0,12,50.0,2.5,1.5,10,0.7,45.815377587342944,9.059480251147523,43.947747481598114,4.5
100.0,12,50.0,2.5,2.0,10,0.9,45.95125418758889,9.369673889281868,47.75886363993657,4.9
100.0,12,50.0,2.5,2.5,10,0.8,47.871083468037824,12.849935859800349,47.176306083799076,4.7
100.0,12,50.0,2.5,3.0,10,0.9,56.55225210653334,21.224588320098384,58.59289336847506,4.9
100.0,12,50.0,2.5,3.5,10,1.0,55.667325260745635,13.57305786768133,59.60479403643558,5.0
100.0,12,50.0,2.5,4.0,10,1.0,53.92614910205767,12.550021274177135,55.07065512478107,5.0
100.0,12,75.0,0.5,1.0,10,1.0,67.03661328931307,21.914483865899072,67.16911441641648,5.0
100.0,12,75.0,0.5,1.5,10,1.0,69.33132702148689,21.633638288053387,66.81310945182346,5.0
100.0,12,75.0,0.5,2.0,10,0.9,61.296882324122926,16.804385627908925,59.29614769938522,4.6
100.0,12,75.0,0.5,2.5,10,0.9,62.033007936590465,14.829463174081559,64.74631091457258,4.9
100.0,12,75.0,0.5,3.0,10,0.9,74.3693570283518,32.84498919426074,68.0,4.9
100.0,12,75.0,0.5,3.5,10,1.0,76.42684120608513,28.96316109406314,70.07214843177857,5.0
100.0,12,75.0,0.5,4.0,10,1.0,76.50333461071078,31.123083056679967,67.88550505336613,5.0
100.0,12,75.0,1.0,1.0,10,1.0,68.10778096673846,26.483516329589232,64.99048669236235,5.0
100.0,12,75.0,1.0,1.5,10,0.9,60.36748077618111,19.02016982759851,54.9976438878684,4.9
100.0,12,75.0,1.0,2.0,10,0.9,60.312358730424094,16.960153145004615,54.9976438878684,4.6
100.0,12,75.0,1.0,2.5,10,1.0,65.20941916874418,23.009169682186023,62.021229306978896,5.0
100.0,12,75.0,1.0,3.0,10,1.0,66.05199591805402,24.746622005024093,62.021229306978896,5.0
100.0,12,75.0,1.0,3.5,10,1.0,74.34359665633546,27.085347724520872,70.07214843177857,5.0
100.0,12,75.0,1.0,4.0,10,0.9,69.49408483760571,24.80165197218582,67.77101010673225,4.9
100.0,12,75.0,1.5,1.0,10,1.0,64.16256226403166,18.037093509974948,67.28781259189135,5.0
100.0,12,75.0,1.5,1.5,10,1.0,67.9816592003051,22.015644228695777,62.377675312925305,5.0
100.0,12,75.0,1.5,2.0,10,1.0,67.42905437020914,24.949287066853014,57.14689579362681,5.0
100.0,12,75.0,1.5,2.5,10,1.0,65.91912672144348,24.76955558542674,62.021229306978896,5.0
100.0,12,75.0,1.5,3.0,10,1.0,75.42783980226963,38.66239937591514,62.021229306978896,5.0
100.0,12,75.0,1.5,3.5,10,1.0,72.8002403723945,26.95856030496344,68.74374113387017,5.0
100.0,12,75.0,1.5,4.0,10,0.9,70.40468070409644,26.420554537432743,67.77101010673225,4.9
100.0,12,75.0,2.0,1.0,10,0.9,63.225799976151265,19.41936491154669,66.14625242824035,4.9
100.0,12,75.0,2.0,1.5,10,1.0,74.40801059327092,38.95353897668774,57.14689579362681,5.0
100.0,12,75.0,2.0,2.0,10,1.0,72.10743314405718,28.05247985050068,63.64807384969261,5.0
100.0,12,75.0,2.0,2.5,10,1.0,67.21260967459102,25.037785763690163,63.364973421026505,5.0
100.0,12,75.0,2.0,3.0,10,0.9,67.53843127539527,26.072397600600286,64.74631091457258,4.8
100.0,12,75.0,2.0,3.5,10,0.9,69.17267086866033,25.907148416173406,68.0,4.8
100.0,12,75.0,2.0,4.0,10,1.0,71.8396685544022,27.001869635236677,66.36447886071183,5.0
100.0,12,75.0,2.5,1.0,10,0.8,59.627614205904884,17.177743619418564,62.74978246846144,4.7
100.0,12,75.0,2.5,1.5,10,1.0,72.4702203540715,35.09940622187624,57.10608776998983,5.0
100.0,12,75.0,2.5,2.0,10,0.9,68.69938481146902,27.4898402780818,59.29614769938522,4.9
100.0,12,75.0,2.5,2.5,10,0.9,66.34787131891683,26.48657365277465,59.29614769938522,4.9
100.0,12,75.0,2.5,3.0,10,1.0,77.67234798192816,32.72662345117446,67.75074272695315,5.0
100.0,12,75.0,2.5,3.5,10,0.9,77.30832198693555,34.43623441121217,69.48748226774035,4.8
100.0,12,75.0,2.5,4.0,10,1.0,71.8396685544022,27.001869635236677,66.36447886071183,5.0
100.0,12,100.0,0.5,1.0,10,1.0,71.06984858869605,21.887439345788987,63.763120935244075,5.0
100.0,12,100.0,0.5,1.5,10,0.8,60.889409899984,12.206463019952029,60.071759402666785,4.8
100.0,12,100.0,0.5,2.0,10,1.0,70.54571121975395,22.651860391326956,66.88219980169094,5.0
100.0,12,100.0,0.5,2.5,10,1.0,69.10724718616032,24.02019902071989,66.70041416563596,5.0
100.0,12,100.0,0.5,3.0,10,1.0,74.8614009942288,34.76356023146675,69.29493023135285,5.0
100.0,12,100.0,0.5,3.5,10,1.0,76.8312338545835,33.82953253478885,72.50480880115688,5.0
100.0,12,100.0,0.5,4.0,10,1.0,72.47330336099591,22.98799669625736,72.50480880115688,5.0
100.0,12,100.0,1.0,1.0,10,1.0,68.73899546069879,21.295602758532226,66.72951740106355,5.0
100.0,12,100.0,1.0,1.5,10,0.9,61.50156664618122,18.587636959018187,57.48848311641024,4.8
100.0,12,100.0,1.0,2.0,10,0.9,63.88024262200161,18.87373293682103,57.48848311641024,4.8
100.0,12,100.0,1.0,2.5,10,0.9,64.8212735385738,20.02442445569916,57.48848311641024,4.9
100.0,12,100.0,1.0,3.0,10,0.9,68.82196016018244,19.63200193059745,75.13307340346272,4.8
100.0,12,100.0,1.0,3.5,10,0.9,68.19141195297058,18.82856246681806,63.43406179451952,4.8
100.0,12,100.0,1.0,4.0,10,1.0,73.85454859931008,25.215776845492638,72.50480880115688,5.0
100.0,12,100.0,1.5,1.0,10,1.0,68.09270792080383,20.78510533104568,68.05479712391076,5.0
100.0,12,100.0,1.5,1.5,10,1.0,67.52167889968307,29.62692937471427,60.071759402666785,5.0
100.0,12,100.0,1.5,2.0,10,1.0,70.17123434126981,26.69843363803144,65.08650702915565,5.0
100.0,12,100.0,1.5,2.5,10,1.0,70.722884717795,26.653182112981472,66.70041416563596,5.0
100.0,12,100.0,1.5,3.0,10,0.9,70.86408947605484,19.795771074044122,81.4300571379115,4.8
100.0,12,100.0,1.5,3.5,10,0.9,69.48512875059481,18.858601007441084,75.13307340346272,4.8
100.0,12,100.0,1.5,4.0,10,0.9,68.18523857182338,18.823799290645713,63.43406179451952,4.8
100.0,12,100.0,2.0,1.0,10,1.0,67.21218988888374,21.823331888170518,68.04767420577477,5.0
100.0,12,100.0,2.0,1.5,10,0.9,61.147576490516585,19.69324556819099,57.48848311641024,4.8
100.0,12,100.0,2.0,2.0,10,1.0,72.33762327071456,30.925951121629126,65.08650702915565,5.0
100.0,12,100.0,2.0,2.5,10,1.0,70.822884717795,26.747758538061984,66.70041416563596,5.0
100.0,12,100.0,2.0,3.0,10,1.0,77.32591849716842,27.372585849417668,81.50280647285288,5.0
100.0,12,100.0,2.0,3.5,10,0.9,71.62797016796087,19.086149573553097,81.57555580779425,4.9
100.0,12,100.0,2.0,4.0,10,1.0,78.74226852970837,32.190003609449626,81.74763346919406,5.0
100.0,12,100.0,2.5,1.0,10,1.0,67.54842847601978,23.1219962443845,63.451110017617225,5.0
100.0,12,100.0,2.5,1.5,10,1.0,69.14108653052097,30.44346024392031,60.071759402666785,5.0
100.0,12,100.0,2.5,2.0,10,0.9,64.96363503998971,20.136372881062034,57.48848311641024,4.8
100.0,12,100.0,2.5,2.5,10,1.0,71.02193904007194,27.196896130803093,66.70041416563596,5.0
100.0,12,100.0,2.5,3.0,10,1.0,78.1083507559214,27.432709705015352,81.74763346919406,5.0
100.0,12,100.0,2.5,3.5,10,1.0,78.19653643590104,27.340493252136717,81.74763346919406,5.0
100.0,12,100.0,2.5,4.0,10,1.0,76.99527199027045,27.797934027822382,81.74763346919406,5.0
100.0,12,125.0,0.5,1.0,10,1.0,71.66429353376891,15.048844223072152,72.36015696038956,5.0
100.0,12,125.0,0.5,1.5,10,1.0,81.57647651999731,43.307039315647415,69.90397448263478,5.0
100.0,12,125.0,0.5,2.0,10,0.8,71.77212679906633,18.642664893598496,72.33959106370975,4.8
100.0,12,125.0,0.5,2.5,10,0.9,68.07978623662078,22.65568953536516,74.45774877860198,4.9
100.0,12,125.0,0.5,3.0,10,1.0,66.89870856133294,21.42016377837585,68.27805291735643,5.0
100.0,12,125.0,0.5,3.5,10,1.0,74.25826505349445,32.982984307313465,68.27805291735643,5.0
100.0,12,125.0,0.5,4.0,10,1.0,73.6914833838241,32.64948010711877,68.27805291735643,5.0
100.0,12,125.0,1.0,1.0,10,1.0,73.55795977706252,20.495435598285038,68.0,5.0
100.0,12,125.0,1.0,1.5,10,1.0,77.81497835739484,25.30085329161325,75.87130433249531,5.0
100.0,12,125.0,1.0,2.0,10,0.9,73.47553726344353,19.748714796632683,75.0,4.8
100.0,12,125.0,1.0,2.5,10,1.0,67.2930697530538,21.58859499195904,68.89508457071213,5.0
100.0,12,125.0,1.0,3.0,10,1.0,65.13113065425607,19.662755305105634,68.27805291735643,5.0
