sensorRange,acoCandidateCount,acoStepLength,acoAlpha,acoBeta,n_runs,convergence_rate,mean_ct,std_ct,median_ct,mean_victims
100.0,24,50.0,1.5,2.0,10,1.0,48.71029704222556,11.365365404722061,51.48822380161447,5.0
100.0,12,50.0,2.0,2.5,10,1.0,50.102646808550816,16.843516289282697,49.65825228651442,5.0
100.0,30,50.0,0.5,2.5,10,1.0,50.91056402574238,13.219092339993617,49.36521805779435,5.0
100.0,24,75.0,2.0,1.0,10,1.0,52.85399353313809,9.781590386532784,54.353714628211165,5.0
100.0,24,50.0,0.5,1.0,10,1.0,52.9993479563977,11.69932339544645,52.83578730917576,5.0
100.0,12,50.0,2.5,1.0,10,1.0,53.068855183070845,11.314979084921772,55.28484195774179,5.0
100.0,12,50.0,1.5,2.5,10,1.0,53.2582435833423,25.305223848250666,50.46062763394054,5.0
100.0,24,75.0,2.5,1.0,10,1.0,53.66176519188501,9.78467942327476,55.77605548271083,5.0
100.0,12,50.0,2.5,4.0,10,1.0,53.92614910205767,12.550021274177135,55.07065512478107,5.0
100.0,24,75.0,1.5,1.0,10,1.0,54.07084163674129,13.677720859101235,52.679180201630174,5.0
100.0,24,75.0,1.0,1.0,10,1.0,54.24389793851143,9.274022297674614,55.36902907684623,5.0
100.0,36,50.0,1.0,1.0,10,1.0,54.39964791644526,15.848332208696553,53.74295271691153,5.0
100.0,36,50.0,2.0,1.0,10,1.0,54.697888325653786,21.69891110511501,49.703851965089655,5.0
100.0,12,50.0,1.5,1.0,10,1.0,55.013267769778665,20.771768617044895,50.60338477569053,5.0
100.0,18,50.0,2.5,2.5,10,1.0,55.30647384239561,11.839099674094278,54.34957293693164,5.0
100.0,12,50.0,2.0,4.0,10,1.0,55.34942811646697,13.535846739595366,55.07065512478107,5.0
100.0,12,50.0,2.5,3.5,10,1.0,55.667325260745635,13.57305786768133,59.60479403643558,5.0
100.0,18,50.0,1.5,2.0,10,1.0,57.70873674085193,14.779401787324751,59.472523398135834,5.0
100.0,24,75.0,0.5,1.0,10,1.0,58.52601085409309,15.678625066560311,55.85447230795423,5.0
100.0,18,50.0,2.5,1.0,10,1.0,58.673434457885776,23.440732167412172,52.833728782859154,5.0
